,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3,o4,o5,explanation for output
170,0,1,0,1,0,1,0,1,0,1,1,1,1,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i8', 'i4', 'i7', 'i3', 'i9']}"
171,0,1,0,1,0,1,0,1,1,0,0,0,0,0,{'o1': ['i9']}
172,0,1,0,1,0,1,1,0,0,1,1,1,1,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i4', 'i7', 'i8', 'i3', 'i9']}"
173,0,1,0,1,0,1,1,0,1,0,0,0,0,0,{'o1': ['i9']}
174,0,1,0,1,0,1,1,1,0,0,0,0,0,0,"{'o1': ['i8', 'i7']}"
175,0,1,0,1,0,1,1,1,1,0,0,0,0,1,"{'o1': ['i8', 'i7', 'i9']}"
178,0,1,0,1,1,0,0,1,0,1,1,1,1,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i8', 'i4', 'i7', 'i3', 'i9']}"
179,0,1,0,1,1,0,0,1,1,0,0,0,0,0,{'o1': ['i9']}
180,0,1,0,1,1,0,1,0,0,1,1,1,1,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i4', 'i7', 'i8', 'i3', 'i9']}"
181,0,1,0,1,1,0,1,0,1,0,0,0,0,0,{'o1': ['i9']}
182,0,1,0,1,1,0,1,1,0,0,0,0,0,0,"{'o1': ['i8', 'i7']}"
183,0,1,0,1,1,0,1,1,1,0,0,0,0,1,"{'o1': ['i8', 'i7', 'i9']}"
184,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"{'o1': ['i5', 'i6']}"
185,0,1,0,1,1,1,0,0,1,0,0,0,0,1,"{'o1': ['i9', 'i5', 'i6']}"
186,0,1,0,1,1,1,0,1,0,0,0,0,0,1,"{'o1': ['i5', 'i6']}"
187,0,1,0,1,1,1,0,1,1,0,0,0,1,0,"{'o1': ['i9', 'i5', 'i6']}"
188,0,1,0,1,1,1,1,0,0,0,0,0,0,1,"{'o1': ['i5', 'i6']}"
189,0,1,0,1,1,1,1,0,1,0,0,0,1,0,"{'o1': ['i9', 'i5', 'i6']}"
190,0,1,0,1,1,1,1,1,0,0,0,0,1,0,"{'o1': ['i8', 'i7', 'i5', 'i6']}"
191,0,1,0,1,1,1,1,1,1,0,0,0,1,1,"{'o1': ['i5', 'i6', 'i8', 'i7', 'i9']}"
202,0,1,1,0,0,1,0,1,0,1,1,1,1,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i8', 'i4', 'i7', 'i3', 'i9']}"
203,0,1,1,0,0,1,0,1,1,0,0,0,0,0,{'o1': ['i9']}
204,0,1,1,0,0,1,1,0,0,1,1,1,1,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i4', 'i7', 'i8', 'i3', 'i9']}"
205,0,1,1,0,0,1,1,0,1,0,0,0,0,0,{'o1': ['i9']}
206,0,1,1,0,0,1,1,1,0,0,0,0,0,0,"{'o1': ['i8', 'i7']}"
207,0,1,1,0,0,1,1,1,1,0,0,0,0,1,"{'o1': ['i8', 'i7', 'i9']}"
210,0,1,1,0,1,0,0,1,0,1,1,1,1,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i8', 'i4', 'i7', 'i3', 'i9']}"
211,0,1,1,0,1,0,0,1,1,0,0,0,0,0,{'o1': ['i9']}
212,0,1,1,0,1,0,1,0,0,1,1,1,1,1,"{'o1': ['i5', 'i1', 'i6', 'i2', 'i4', 'i7', 'i8', 'i3', 'i9']}"
213,0,1,1,0,1,0,1,0,1,0,0,0,0,0,{'o1': ['i9']}
214,0,1,1,0,1,0,1,1,0,0,0,0,0,0,"{'o1': ['i8', 'i7']}"
215,0,1,1,0,1,0,1,1,1,0,0,0,0,1,"{'o1': ['i8', 'i7', 'i9']}"
216,0,1,1,0,1,1,0,0,0,0,0,0,0,0,"{'o1': ['i5', 'i6']}"
